Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-02-04,1126.23779296875,1138.6063365926661,1119.811519034765,1131.211624326662,5032240
2021-02-05,1119.8553466796875,1134.5127000483542,1110.9641338203862,1132.4439689934175,5477481
2021-02-08,1147.5416259765625,1153.2196492039,1122.8485973737208,1131.6518008027583,6921922
2021-02-09,1149.30224609375,1172.5866757624497,1142.5237150981163,1150.4906570432056,7965949
2021-02-10,1141.3353271484375,1148.2458203636193,1129.979173207175,1140.7191458914072,5951207
2021-02-11,1137.946044921875,1140.8950964026346,1129.494991625902,1134.7328543695958,4673317
2021-02-12,1153.0435791015625,1165.324004378613,1145.780936581356,1148.8179986508705,5797875
2021-02-15,1152.9114990234375,1169.4175046002792,1150.6666392805976,1162.0227926096593,4363513
2021-02-16,1135.9652099609375,1161.8025863930768,1132.0917795806,1156.7407452324326,6896421
2021-02-17,1127.9544677734375,1139.574653000407,1122.4084067790798,1135.9653611845283,4575741
2021-02-18,1137.769775390625,1149.698156832188,1122.408231210597,1123.2885513919389,6437551
2021-02-19,1136.757568359375,1143.976151339578,1123.992924885405,1140.9830410327988,5389696
2021-02-22,1113.781494140625,1151.9434751729505,1109.2038703584672,1140.0150889795357,7371303
2021-02-23,1114.7935791015625,1136.4934957685794,1107.0468250167494,1119.0191594830774,6612942
2021-02-24,1121.7923583984375,1123.817030895439,1102.161169974402,1109.2477923663805,4537258
2021-02-25,1122.0123291015625,1144.196358621312,1119.767469256633,1134.2486958235556,8788221
2021-02-26,1103.305419921875,1121.792145299428,1095.7786387480553,1117.1264049578488,15132388
2021-03-01,1115.36572265625,1130.7713265603418,1108.3231608715223,1112.1085808151993,5756286
2021-03-02,1148.3778076171875,1153.2195691671259,1126.1056615030825,1128.7906813469826,10461434
2021-03-03,1182.7542724609375,1185.791334230148,1151.458845711235,1161.3183891733065,9056399
2021-03-04,1171.1339111328125,1200.6246366884466,1167.2165293792084,1175.2274213961591,12041941
