Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2021-02-04,198.59213256835938,201.8257798065895,197.82991853886463,200.2551539675372,14386598
2021-02-05,196.58262634277344,200.20893314785474,194.2728785812671,199.56220659414927,17358052
2021-02-08,201.08665466308594,202.19534497796622,196.92910827503385,198.80001260820708,25032680
2021-02-09,202.9575653076172,208.68573768976762,201.04047723302756,203.37331713983443,58949660
2021-02-10,202.79588317871094,205.17492090217908,200.94808469872268,204.18173203870214,21215470
2021-02-11,201.87197875976562,203.48880238827633,200.20895735092367,202.79587797605745,18474052
2021-02-12,204.18173217773438,207.50777508301147,203.07305590850322,203.25783293711115,38561668
2021-02-15,203.11924743652344,205.5213769296382,201.77958230079776,205.38279768684464,15689754
2021-02-16,202.1260528564453,206.86103651449275,200.39374176203773,206.02953282821062,24907596
2021-02-17,198.730712890625,202.7958635133634,197.94539297374993,201.36381701072298,14780384
2021-02-18,200.00108337402344,201.71028842192817,198.3380620076863,198.77690566565863,16771472
2021-02-19,198.61526489257812,201.2945673211579,196.83675585576574,200.09349536788298,16957332
2021-02-22,193.41831970214844,199.95490428170748,192.17105003643596,198.9617153762764,21332174
2021-02-23,191.9400634765625,196.79053439474276,191.38571830402284,193.88025748286796,17984706
2021-02-24,195.45086669921875,196.6981220848557,191.5935849541634,192.9563418303627,10120594
2021-02-25,194.61935424804688,198.17637168658266,194.22670837941453,195.45087195842822,18220784
2021-02-26,189.5379180908203,193.94954529570245,188.47543963387832,193.07184386202212,23463882
2021-03-01,191.43191528320312,193.4183070618344,189.0297857732827,189.8612894310276,12843392
2021-03-02,198.82310485839844,200.07037441641484,193.21042004249063,193.88025260097777,29750468
2021-03-03,201.17906188964844,201.7103011394155,197.82992710503316,200.024187825988,17564904
2021-03-04,202.70346069335938,205.24418326589392,197.4834363197302,198.13016288231356,25927594
2021-03-05,194.4114990234375,203.25783136444136,192.63299017948194,203.25783136444136,87862344
2021-03-08,192.5867919921875,196.39787632223442,191.9631571913904,196.37478448047966,24709676
2021-03-09,193.64927673339844,195.31228400480663,189.4224266420844,193.92643521357786,23811258
2021-03-10,197.11390686035156,198.96170532504638,195.40468764147548,196.83673427113064,34582736
2021-03-12,196.4209747314453,199.9317803985867,194.98892815796242,199.33125156015015,17920252
2021-03-15,196.95220947265625,197.99159604465007,193.00253204053016,196.23617915339983,15034204
2021-03-16,198.31495666503906,200.92498317026127,196.6288434528532,197.36796562873252,21347294
2021-03-17,193.8571319580078,201.17903537617488,192.95633876561888,198.17636320638124,24269624
