Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2021-02-04,782.8949584960938,793.3591632227194,776.7635826917509,788.6584417727232,4623148
2021-02-05,773.4935913085938,788.0045154659229,768.5067085612349,785.4701832803661,4631703
2021-02-08,782.9767456054688,788.4132524954919,769.5694496059148,780.7285743181652,6509526
2021-02-09,777.948974609375,802.7197738119913,773.8613905689784,788.9037197965444,7557977
2021-02-10,784.3666381835938,788.9855789569426,773.4936728593694,780.7695436881286,4896963
2021-02-11,793.318359375,795.0351247755052,779.1344123005415,784.3665400214675,3745595
2021-02-12,785.1431274414062,806.4802952222897,782.8540405630048,797.0788523484363,8045740
2021-02-15,780.4424438476562,794.0132029560028,776.7227024385178,792.9913069419025,4643228
2021-02-16,778.521240234375,786.6555423902721,771.8175924813701,782.3635791815957,3277086
2021-02-17,771.0819091796875,783.5081753803495,769.2833621155851,778.2760475388279,3643176
2021-02-18,775.0877685546875,782.1593098411386,767.1169786190187,771.7359691560333,5133094
2021-02-19,776.7635498046875,783.1810362492869,772.1036944112259,776.6409023348878,5494816
2021-02-22,752.2381591796875,777.8264269349621,748.8863101131346,776.232259077466,5043203
2021-02-23,743.8994750976562,760.2906781250928,741.1198978208719,755.3855769758986,5916942
2021-02-24,748.8453979492188,751.6658409231313,740.2614714443423,750.4804315691952,3435827
2021-02-25,759.677490234375,763.6015609147281,753.8731408839845,756.9388288994583,6234947
2021-02-26,743.4906005859375,756.2029757666709,739.9343728696509,742.3051913471753,9198218
2021-03-01,760.5767822265625,763.9286312533962,748.5593244369271,748.8454353758161,5397960
2021-03-02,779.7066650390625,783.0993797921104,759.1460971108427,763.4380604046357,6715548
2021-03-03,789.1080932617188,791.3562644675926,774.1884116227378,788.9037140611848,5742015
2021-03-04,783.1810302734375,792.9094993557804,777.7445240396703,778.2759298750652,6268541
2021-03-05,769.6920776367188,794.6263403748175,765.4409802396224,781.6278031196562,5992152
2021-03-08,786.369384765625,795.443800766128,771.735814926233,778.6847073275816,5621823
2021-03-09,795.5664672851562,798.632155182678,775.9051489845713,788.1679005746588,5440319
2021-03-10,808.1153564453125,813.5109473640381,800.9212185879232,805.8263193857704,7694950
2021-03-12,800.5532836914062,819.8057933248539,795.9342940589178,808.1153136879807,6447010
2021-03-15,811.2627563476562,812.8977899069984,790.8248368558801,799.122652128447,5321071
2021-03-16,823.4437866210938,832.8860955649205,809.7095145303215,811.7941723650991,8094575
2021-03-17,807.257080078125,837.0555813281212,803.3738747685207,827.3271101725197,6758901
2021-03-18,774.801513671875,817.3123854322944,762.2526512938103,813.429180800333,8269566
2021-03-19,785.18408203125,792.1738412392009,766.5855733747053,776.6410208227459,9004154
2021-03-22,800.1446533203125,803.1694757823058,772.2264316644553,785.1841042645057,4745254
2021-03-23,801.8612060546875,811.7123218489925,794.462690168387,804.1502926491905,5158305
2021-03-24,797.6103515625,805.0497350962305,789.5577804810075,793.8497440344528,3874331
2021-03-25,782.404541015625,796.6702209338122,776.6410568364511,792.9913948751131,4879437
2021-03-26,783.6307373046875,797.0788989640993,779.7475324122984,788.9037307695958,4271178
2021-03-30,814.0831909179688,818.1707747746539,788.4540600954582,788.9036843402407,5475000
2021-03-31,803.3328857421875,817.5167819501162,800.0628186143871,817.5167819501162,4445140
2021-04-01,819.642333984375,828.5532871748611,809.832132261535,810.9766757547728,5269079
2021-04-05,844.9036254882812,850.2174847680817,819.6423360300154,823.2394299629407,9452833
2021-04-06,840.7344360351562,850.7081027257874,834.0716530550279,849.4000955885068,4260257
2021-04-07,847.928466796875,854.3051383695068,837.7095058115939,842.859902065992,3551106
2021-04-08,848.1738891601562,861.98994644611,843.3914346597065,853.4877496705573,4852068
2021-04-09,854.6321411132812,862.3168195176174,845.4350764844437,851.9342955710069,3708082
